 Algorithm  N Stations    K Ready     I Start   X Scenarios  % Success  % Collision   % Idle    
--------------------------------------------------------------------------------------------------------
   Basic       1024          1           0          100       100.00       0.00        0.00     
   Basic       1024          2           0          100        47.68       38.08       14.24    
   Basic       1024          4           0          100        40.72       44.91       14.37    
   Basic       1024          8           0          100        38.93       47.57       13.51    
   Basic       1024         16           0          100        37.59       48.83       13.59    
   Basic       1024         32           0          100        36.59       49.43       13.98    
   Basic       1024         64           0          100        37.65       49.71       12.64    
   Basic       1024         128          0          100        39.44       49.85       10.71    
   Basic       1024         256          0          100        42.16       49.92       7.92     
   Basic       1024         512          0          100        46.09       49.95       3.95     
   Basic       1024        1024          0          100        50.02       49.98       0.00     
   Basic       1024          1           2          100        25.00       0.00        75.00    
   Basic       1024          2           2          100        45.40       4.60        50.00    
   Basic       1024          4           2          100        55.33       22.33       22.33    
   Basic       1024          8           2          100        45.27       38.68       16.05    
   Basic       1024         16           2          100        40.38       44.95       14.67    
   Basic       1024         32           2          100        38.47       47.60       13.94    
   Basic       1024         64           2          100        38.48       48.80       12.72    
   Basic       1024         128          2          100        40.23       49.37       10.40    
   Basic       1024         256          2          100        42.40       49.67       7.94     
   Basic       1024         512          2          100        46.31       49.82       3.87     
   Basic       1024        1024          2          100        50.10       49.90       0.00     
   Basic       1024          1           4          100        6.25        0.00        93.75    
   Basic       1024          2           4          100        12.35       0.59        87.06    
   Basic       1024          4           4          100        23.78       2.45        73.78    
   Basic       1024          8           4          100        37.58       12.42       50.00    
   Basic       1024         16           4          100        46.46       26.77       26.77    
   Basic       1024         32           4          100        43.56       39.11       17.33    
   Basic       1024         64           4          100        41.94       44.76       13.30    
   Basic       1024         128          4          100        41.53       47.40       11.06    
   Basic       1024         256          4          100        43.23       48.65       8.12     
   Basic       1024         512          4          100        46.81       49.27       3.92     
   Basic       1024        1024          4          100        50.39       49.61       0.00     
   Basic       1024          1           6          100        1.56        0.00        98.44    
   Basic       1024          2           6          100        3.12        0.04        96.83    
   Basic       1024          4           6          100        6.21        0.34        93.45    
   Basic       1024          8           6          100        12.22       1.14        86.65    
   Basic       1024         16           6          100        23.29       3.43        73.29    
   Basic       1024         32           6          100        38.08       11.92       50.00    
   Basic       1024         64           6          100        47.84       26.08       26.08    
   Basic       1024         128          6          100        48.10       37.98       13.93    
   Basic       1024         256          6          100        47.15       44.11       8.75     
   Basic       1024         512          6          100        48.85       46.95       4.21     
   Basic       1024        1024          6          100        51.61       48.39       0.00     
   Basic       1024          1           8          100        0.39        0.00        99.61    
   Basic       1024          2           8          100        0.78        0.00        99.22    
   Basic       1024          4           8          100        1.56        0.01        98.43    
   Basic       1024          8           8          100        3.12        0.03        96.85    
   Basic       1024         16           8          100        6.23        0.18        93.59    
   Basic       1024         32           8          100        12.33       0.69        86.98    
   Basic       1024         64           8          100        23.65       2.70        73.65    
   Basic       1024         128          8          100        40.92       9.08        50.00    
   Basic       1024         256          8          100        56.42       21.79       21.79    
   Basic       1024         512          8          100        59.32       35.17       5.51     
   Basic       1024        1024          8          100        57.14       42.86       0.00     
   Basic       1024          1          10          100        0.10        0.00        99.90    
   Basic       1024          2          10          100        0.20        0.00        99.80    
   Basic       1024          4          10          100        0.39        0.00        99.61    
   Basic       1024          8          10          100        0.78        0.00        99.22    
   Basic       1024         16          10          100        1.56        0.00        98.44    
   Basic       1024         32          10          100        3.12        0.00        96.88    
   Basic       1024         64          10          100        6.25        0.00        93.75    
   Basic       1024         128         10          100        12.50       0.00        87.50    
   Basic       1024         256         10          100        25.00       0.00        75.00    
   Basic       1024         512         10          100        50.00       0.00        50.00    
   Basic       1024        1024         10          100       100.00       0.00        0.00     
